,Model,Dataset,Repetition,Fold,Accuracy,F1,Recall,Precision
196,LR,"['mfeat_fac', 'mfeat_fou', 'mfeat_zer']",20,7,0.97,0.9694839036302452,0.97,0.9722943722943724
197,LR,"['mfeat_fac', 'mfeat_fou', 'mfeat_zer']",20,8,0.935,0.9342566903542512,0.935,0.9351285968933029
198,LR,"['mfeat_fac', 'mfeat_fou', 'mfeat_zer']",20,9,0.96,0.9595705727733967,0.96,0.9608297258297256
199,LR,"['mfeat_fac', 'mfeat_fou', 'mfeat_zer']",20,10,0.89,0.8857356450379708,0.89,0.8911264822134387
200,LR,"['mfeat_fac', 'mfeat_fou', 'mfeat_zer']",21,1,0.94,0.938608527496786,0.94,0.942091803124412
201,LR,"['mfeat_fac', 'mfeat_fou', 'mfeat_zer']",21,2,0.955,0.9542460055874692,0.955,0.9550967659791192
202,LR,"['mfeat_fac', 'mfeat_fou', 'mfeat_zer']",21,3,0.98,0.9797979797979798,0.98,0.9833333333333332
203,LR,"['mfeat_fac', 'mfeat_fou', 'mfeat_zer']",21,4,0.97,0.9703962703962704,0.97,0.9728070175438596
204,LR,"['mfeat_fac', 'mfeat_fou', 'mfeat_zer']",21,5,0.97,0.9691912708600772,0.97,0.9698412698412698
205,LR,"['mfeat_fac', 'mfeat_fou', 'mfeat_zer']",21,6,0.975,0.9745956354300386,0.975,0.974920634920635
206,LR,"['mfeat_fac', 'mfeat_fou', 'mfeat_zer']",21,7,0.95,0.9491994526654346,0.95,0.9498063340168604
207,LR,"['mfeat_fac', 'mfeat_fou', 'mfeat_zer']",21,8,0.955,0.9548113482580748,0.955,0.9557503607503608
208,LR,"['mfeat_fac', 'mfeat_fou', 'mfeat_zer']",21,9,0.985,0.984971810389012,0.985,0.986147186147186
